taxon,level.red,Genus,Family,Order,Phylum
Mobiluncus,genus,Mobiluncus,Actinomycetaceae,Actinomycetales,Actinobacteria
Moryella,genus,Moryella,Lachnospiraceae,Clostridiales,Firmicutes
Murdochiella,genus,Murdochiella,NA,Clostridiales,Firmicutes
Mycoplasma,genus,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Tenericutes
Olsenella,genus,Olsenella,Coriobacteriaceae,Coriobacteriales,Actinobacteria
Other_Bacteria,Bacteria,NA,NA,NA,NA
Paraprevotella,genus,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidetes
Parvimonas,genus,Parvimonas,NA,Clostridiales,Firmicutes
Peptococcus,genus,Peptococcus,Peptococcaceae,Clostridiales,Firmicutes
Peptoniphilus,genus,Peptoniphilus,NA,Clostridiales,Firmicutes
Peptostreptococcus,genus,Peptostreptococcus,Clostridiaceae,Clostridiales,Firmicutes
Porphyromonadaceae,family,NA,Porphyromonadaceae,Bacteroidales,Bacteroidetes
Porphyromonas,genus,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidetes
Prevotella,genus,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidetes
Propionimicrobium,genus,Propionimicrobium,Propionibacteriaceae,Actinomycetales,Actinobacteria
Pyramidobacter,genus,Pyramidobacter,Synergistaceae,Synergistales,Synergistetes
Ruminococcaceae,family,NA,Ruminococcaceae,Clostridiales,Firmicutes
Saccharofermentans,genus,Saccharofermentans,Clostridiaceae,Clostridiales,Firmicutes
Segniliparus,genus,Segniliparus,Segniliparaceae,Actinomycetales,Actinobacteria
Sneathia,genus,Sneathia,Leptotrichiaceae,Fusobacteriales,Fusobacteria
Staphylococcus,genus,Staphylococcus,Staphylococcaceae,Bacillales,Firmicutes
Streptococcus_agalactiae,species,Streptococcus,Streptococcaceae,Lactobacillales,Firmicutes
Streptococcus_anginosis,species,Streptococcus,Streptococcaceae,Lactobacillales,Firmicutes
Streptococcus_Other,genus,Streptococcus,Streptococcaceae,Lactobacillales,Firmicutes
TM7_genera_incertae_sedis,genus,TM7_genera_incertae_sedis,NA,NA,NA
Ureaplasma,genus,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Tenericutes
Varibaculum,genus,Varibaculum,Actinomycetaceae,Actinomycetales,Actinobacteria
Veillonella,genus,Veillonella,Veillonellaceae,Selenomonadales,Firmicutes
Veillonellaceae,family,NA,Veillonellaceae,Selenomonadales,Firmicutes
